title,company,location,salary,url,query,scraped_at,is_lead,lead_score,lead_reason,automation_signals,company_sector,company_size,urgency,contact_email
2026_75_DATA ENTRY_Oncologia,igtp,"08916 badalona, barcelona provincia",,https://es.indeed.com/viewjob?jk=635b9e66ab90ba19,data entry,2026-05-29T15:20:26.513250,True,high,"La posición es explícitamente para Data Entry en oncología, indicando trabajo manual de entrada de datos que es ideal para automatización.",DATA ENTRY,sanidad,medium,normal,
Group Accounts Receivable Manager,tecnalis solution providers,"marbella, málaga provincia",,https://es.indeed.com/viewjob?jk=dfee0ec5168b79a6,data entry,2026-05-29T15:20:26.513700,True,high,"Gestor de cuentas por cobrar que typically implica conciliación manual, gestión de Excel y seguimiento administrativo de cobros.","Accounts Receivable Manager, gestión de cuentas, tareas administrativas de cobro",soluciones tecnológicas,medium,normal,
"Customer Billing Junior Associate, Admin & Accounting",ie university,"madrid, madrid provincia",,https://es.indeed.com/viewjob?jk=7c080208ae10e256,data entry,2026-05-29T15:20:26.513743,True,high,"Asociado junior en facturación y contabilidad que probablemente realizará entrada manual de datos, conciliación de facturas y tareas administrativas contables repetitivas.","Customer Billing, Admin & Accounting, Junior Associate",educación superior,medium,normal,
Data Entry Engineer,factorial,"08005 barcelona, barcelona provincia",,https://es.indeed.com/viewjob?jk=5e334d507c70f263,data entry,2026-05-29T15:20:26.513708,True,high,"Puesto explícitamente enfocado en entrada de datos, la principal tarea manual susceptible de automatización.","Data Entry Engineer, entrada de datos, Data Entry",recursos humanos y administración,medium,normal,
Administration Assistant,sdz spain,"trabajo híbrido in madrid, madrid provincia",,https://es.indeed.com/viewjob?jk=5eeb9b0c4cb5bed4,data entry,2026-05-29T15:20:26.513687,True,medium,"Administration Assistant sugiere tareas administrativas que típicamente incluyen gestión de datos y Excel, con potencial de automatización.",Administration Assistant,administración,small,normal,
Customer Service Representative (Fixed-term),thermo fisher scientific,"alcobendas, madrid provincia",,https://es.indeed.com/viewjob?jk=d5a42607d0de9c05,data entry,2026-05-29T15:20:26.513679,False,low,"Customer Service Representative es un rol enfocado en atención al cliente, sin indicadores claros de tareas administrativas o de entrada de datos manual.",,servicios,large,normal,
HR Project and Talent Development Specialist,smadex slu,"teletrabajo in 08009 barcelona, barcelona provincia",,https://es.indeed.com/viewjob?jk=c69a6efd2314879c,data entry,2026-05-29T15:20:26.513690,False,low,"HR Project and Talent Development Specialist es un rol estratégico de RRHH enfocado en desarrollo y proyectos, no en tareas manuales de backoffice.",,recursos humanos,small,normal,
Staff Writer (Dutch & German speaker),feverup,"barcelona, barcelona provincia",,https://es.indeed.com/viewjob?jk=caade3c6f8dd9659,data entry,2026-05-29T15:20:26.513683,False,discard,"Staff Writer es una posición creativa de contenido, sin relación con procesos administrativos o tareas manuales de backoffice.",,tecnología,small,normal,
IBP Management Specialist,airbus defence and space sau,"sevilla, sevilla provincia",,https://es.indeed.com/viewjob?jk=a87ae5dde9b9c1da,data entry,2026-05-29T15:20:26.513705,False,discard,"Especialista en planificación y presupuestos en defensa aeroespacial, rol estratégico sin componente manual de entrada de datos.",,defensa y aeroespacial,large,unknown,
AI and Privacy Counsel,sabio group,"trabajo híbrido in 28050 madrid, madrid provincia",,https://es.indeed.com/viewjob?jk=a2e612034972869f,data entry,2026-05-29T15:20:26.513697,False,discard,"Puesto de asesoramiento legal especializado en IA y privacidad, sin indicios de tareas administrativas o entrada de datos manual.",,servicios legales,unknown,unknown,
People Advisor,ebury,león provincia,,https://es.indeed.com/viewjob?jk=9c980a02ad202d18,data entry,2026-05-29T15:20:26.513715,False,discard,"Rol de People Advisor enfocado en gestión de talento y RRHH, sin indicadores de automatización de procesos administrativos manuales.",,recursos humanos,large,unknown,
"Titulación Universitaria en Farmacia (NIVEL 2 MECES: GRADO, mínimo) REF: 141/26 HUVR",fisevi,"sevilla, sevilla provincia",,https://es.indeed.com/viewjob?jk=57caea7224b65866,data entry,2026-05-29T15:20:26.513712,False,discard,"Puesto de especialista en farmacia en hospital público, rol clínico sin tareas administrativas de backoffice susceptibles de automatización.",,sanidad,large,normal,
Project Manager for Batteries and Deforestation regulations (Temp Agency),airbus defence and space sau,"getafe, madrid provincia",,https://es.indeed.com/viewjob?jk=e373628372b42111,data entry,2026-05-29T15:20:26.513719,False,discard,"Project Manager especializado en regulaciones ambientales (baterías y deforestación), sin tareas de entrada de datos o gestión manual de Excel.",,defensa y aeroespacial,large,normal,
Project Manager for Batteries and Deforestation regulations (Temp Agency),airbus defence and space sau,"getafe, madrid provincia",,https://es.indeed.com/viewjob?jk=abcdef0123456789,data entry,2026-05-29T15:20:26.513733,False,discard,"Project Manager especializado en regulaciones ambientales (baterías y deforestación), sin tareas de entrada de datos o gestión manual de Excel.",,defensa y aeroespacial,large,normal,
Services Sales Specialist - Arabic Speaker,hewlett packard enterprise,"08018 barcelona, barcelona provincia",,https://es.indeed.com/viewjob?jk=f64d8416319548f3,data entry,2026-05-29T15:20:26.513741,False,discard,"Especialista en ventas de servicios enfocado en captación y relaciones comerciales, no en tareas administrativas manuales.",,tecnología,large,normal,
Senior Contract Associate,beigene,teletrabajo,,https://es.indeed.com/viewjob?jk=ad16637d64df763d,data entry,2026-05-29T15:20:26.513745,False,discard,Sin descripción ni requisitos disponibles para evaluar señales de automatización.,,desconocido,unknown,unknown,
